WARD STAFF USERS IN DATABASE:
ID: 13, Username: WardStaff4, Name: Cán bộ Ngũ Hành Sơn, Role: WARD_STAFF, WardID: 4, Ward: Ngũ Hành Sơn
ID: 73, Username: WardStaff131, Name: Cán bộ Lãnh Ngọc, Role: WARD_STAFF, WardID: 131, Ward: Lãnh Ngọc
ID: 75, Username: WardStaff132, Name: Cán bộ Tiên Phước, Role: WARD_STAFF, WardID: 132, Ward: Tiên Phước
ID: 77, Username: WardStaff133, Name: Cán bộ Thạnh Bình, Role: WARD_STAFF, WardID: 133, Ward: Thạnh Bình
ID: 79, Username: WardStaff134, Name: Cán bộ Sơn Cẩm Hà, Role: WARD_STAFF, WardID: 134, Ward: Sơn Cẩm Hà
ID: 81, Username: WardStaff135, Name: Cán bộ Trà Liên, Role: WARD_STAFF, WardID: 135, Ward: Trà Liên
ID: 83, Username: WardStaff136, Name: Cán bộ Trà Giáp, Role: WARD_STAFF, WardID: 136, Ward: Trà Giáp
ID: 85, Username: WardStaff137, Name: Cán bộ Trà Tân, Role: WARD_STAFF, WardID: 137, Ward: Trà Tân
ID: 87, Username: WardStaff138, Name: Cán bộ Trà Đốc, Role: WARD_STAFF, WardID: 138, Ward: Trà Đốc
ID: 89, Username: WardStaff139, Name: Cán bộ Trà My, Role: WARD_STAFF, WardID: 139, Ward: Trà My
ID: 91, Username: WardStaff140, Name: Cán bộ Nam Trà My, Role: WARD_STAFF, WardID: 140, Ward: Nam Trà My
ID: 93, Username: WardStaff141, Name: Cán bộ Trà Tập, Role: WARD_STAFF, WardID: 141, Ward: Trà Tập
ID: 95, Username: WardStaff142, Name: Cán bộ Trà Vân, Role: WARD_STAFF, WardID: 142, Ward: Trà Vân
ID: 97, Username: WardStaff143, Name: Cán bộ Trà Linh, Role: WARD_STAFF, WardID: 143, Ward: Trà Linh
ID: 99, Username: WardStaff144, Name: Cán bộ Trà Leng, Role: WARD_STAFF, WardID: 144, Ward: Trà Leng
ID: 101, Username: WardStaff145, Name: Cán bộ Thăng Bình, Role: WARD_STAFF, WardID: 145, Ward: Thăng Bình
ID: 103, Username: WardStaff146, Name: Cán bộ Thăng An, Role: WARD_STAFF, WardID: 146, Ward: Thăng An
ID: 105, Username: WardStaff147, Name: Cán bộ Thăng Trường, Role: WARD_STAFF, WardID: 147, Ward: Thăng Trường
ID: 107, Username: WardStaff148, Name: Cán bộ Thăng Điền, Role: WARD_STAFF, WardID: 148, Ward: Thăng Điền
ID: 109, Username: WardStaff149, Name: Cán bộ Thăng Phú, Role: WARD_STAFF, WardID: 149, Ward: Thăng Phú
ID: 111, Username: WardStaff150, Name: Cán bộ Đồng Dương, Role: WARD_STAFF, WardID: 150, Ward: Đồng Dương
ID: 113, Username: WardStaff151, Name: Cán bộ Quế Sơn Trung, Role: WARD_STAFF, WardID: 151, Ward: Quế Sơn Trung
ID: 115, Username: WardStaff152, Name: Cán bộ Quế Sơn, Role: WARD_STAFF, WardID: 152, Ward: Quế Sơn
ID: 117, Username: WardStaff153, Name: Cán bộ Xuân Phú, Role: WARD_STAFF, WardID: 153, Ward: Xuân Phú
ID: 119, Username: WardStaff154, Name: Cán bộ Nông Sơn, Role: WARD_STAFF, WardID: 154, Ward: Nông Sơn
ID: 121, Username: WardStaff155, Name: Cán bộ Quế Phước, Role: WARD_STAFF, WardID: 155, Ward: Quế Phước
ID: 123, Username: WardStaff156, Name: Cán bộ Duy Nghĩa, Role: WARD_STAFF, WardID: 156, Ward: Duy Nghĩa
ID: 125, Username: WardStaff157, Name: Cán bộ Nam Phước, Role: WARD_STAFF, WardID: 157, Ward: Nam Phước
ID: 127, Username: WardStaff158, Name: Cán bộ Duy Xuyên, Role: WARD_STAFF, WardID: 158, Ward: Duy Xuyên
ID: 129, Username: WardStaff159, Name: Cán bộ Thu Bồn, Role: WARD_STAFF, WardID: 159, Ward: Thu Bồn
ID: 131, Username: WardStaff160, Name: Cán bộ Điện Bàn Tây, Role: WARD_STAFF, WardID: 160, Ward: Điện Bàn Tây
ID: 133, Username: WardStaff161, Name: Cán bộ Gò Nổi, Role: WARD_STAFF, WardID: 161, Ward: Gò Nổi
ID: 135, Username: WardStaff162, Name: Cán bộ Đại Lộc, Role: WARD_STAFF, WardID: 162, Ward: Đại Lộc
ID: 137, Username: WardStaff163, Name: Cán bộ Hà Nha, Role: WARD_STAFF, WardID: 163, Ward: Hà Nha
ID: 139, Username: WardStaff164, Name: Cán bộ Thượng Đức, Role: WARD_STAFF, WardID: 164, Ward: Thượng Đức
ID: 141, Username: WardStaff165, Name: Cán bộ Vu Gia, Role: WARD_STAFF, WardID: 165, Ward: Vu Gia
ID: 143, Username: WardStaff166, Name: Cán bộ Phú Thuận, Role: WARD_STAFF, WardID: 166, Ward: Phú Thuận
ID: 145, Username: WardStaff167, Name: Cán bộ Thạnh Mỹ, Role: WARD_STAFF, WardID: 167, Ward: Thạnh Mỹ
ID: 147, Username: WardStaff168, Name: Cán bộ Bến Giằng, Role: WARD_STAFF, WardID: 168, Ward: Bến Giằng
ID: 149, Username: WardStaff169, Name: Cán bộ Nam Giang, Role: WARD_STAFF, WardID: 169, Ward: Nam Giang
ID: 151, Username: WardStaff170, Name: Cán bộ Đắc Pring, Role: WARD_STAFF, WardID: 170, Ward: Đắc Pring
ID: 153, Username: WardStaff171, Name: Cán bộ La Dêê, Role: WARD_STAFF, WardID: 171, Ward: La Dêê
ID: 155, Username: WardStaff172, Name: Cán bộ La Êê, Role: WARD_STAFF, WardID: 172, Ward: La Êê
ID: 157, Username: WardStaff173, Name: Cán bộ Sông Vàng, Role: WARD_STAFF, WardID: 173, Ward: Sông Vàng
ID: 159, Username: WardStaff174, Name: Cán bộ Sông Kôn, Role: WARD_STAFF, WardID: 174, Ward: Sông Kôn
ID: 161, Username: WardStaff175, Name: Cán bộ Đông Giang, Role: WARD_STAFF, WardID: 175, Ward: Đông Giang
ID: 163, Username: WardStaff176, Name: Cán bộ Bến Hiên, Role: WARD_STAFF, WardID: 176, Ward: Bến Hiên
ID: 165, Username: WardStaff177, Name: Cán bộ Avương, Role: WARD_STAFF, WardID: 177, Ward: Avương
ID: 167, Username: WardStaff178, Name: Cán bộ Tây Giang, Role: WARD_STAFF, WardID: 178, Ward: Tây Giang
ID: 169, Username: WardStaff179, Name: Cán bộ Hùng Sơn, Role: WARD_STAFF, WardID: 179, Ward: Hùng Sơn
ID: 171, Username: WardStaff180, Name: Cán bộ Hiệp Đức, Role: WARD_STAFF, WardID: 180, Ward: Hiệp Đức
ID: 173, Username: WardStaff181, Name: Cán bộ Việt An, Role: WARD_STAFF, WardID: 181, Ward: Việt An
ID: 175, Username: WardStaff182, Name: Cán bộ Phước Trà, Role: WARD_STAFF, WardID: 182, Ward: Phước Trà
ID: 177, Username: WardStaff183, Name: Cán bộ Khâm Đức, Role: WARD_STAFF, WardID: 183, Ward: Khâm Đức
ID: 179, Username: WardStaff184, Name: Cán bộ Phước Năng, Role: WARD_STAFF, WardID: 184, Ward: Phước Năng
ID: 181, Username: WardStaff185, Name: Cán bộ Phước Chánh, Role: WARD_STAFF, WardID: 185, Ward: Phước Chánh
ID: 183, Username: WardStaff186, Name: Cán bộ Phước Thành, Role: WARD_STAFF, WardID: 186, Ward: Phước Thành
ID: 185, Username: WardStaff187, Name: Cán bộ Phước Hiệp, Role: WARD_STAFF, WardID: 187, Ward: Phước Hiệp
ID: 187, Username: WardStaff188, Name: Cán bộ Tam Hải, Role: WARD_STAFF, WardID: 188, Ward: Tam Hải
ID: 189, Username: WardStaff189, Name: Cán bộ Tân Hiệp, Role: WARD_STAFF, WardID: 189, Ward: Tân Hiệp
ID: 191, Username: WardStaff190, Name: Cán bộ Hoàng Sa, Role: WARD_STAFF, WardID: 190, Ward: Hoàng Sa
